"","Component","PVE","PVE_sum"
"1",1,0.433771035748756,0.433771035748756
"2",2,0.0887878664994684,0.522558902248224
"3",3,0.0395849626236826,0.562143864871907
"4",4,0.0275987224383596,0.589742587310266
"5",5,0.023650072780942,0.613392660091208
"6",6,0.0147175247827694,0.628110184873978
"7",7,0.0119994466026585,0.640109631476636
"8",8,0.00998890417649425,0.65009853565313
"9",9,0.00866303226119506,0.658761567914325
"10",10,0.0083462843505113,0.667107852264837
"11",11,0.00758206305782799,0.674689915322665
"12",12,0.00693642316975006,0.681626338492415
"13",13,0.00681147657682833,0.688437815069243
"14",14,0.00661772082215263,0.695055535891396
"15",15,0.00570071298592876,0.700756248877325
"16",16,0.00539800547378383,0.706154254351108
"17",17,0.00535473436047557,0.711508988711584
"18",18,0.00508777589466546,0.716596764606249
"19",19,0.00504813752959179,0.721644902135841
"20",20,0.0048315769892683,0.726476479125109
"21",21,0.00448391822698672,0.730960397352096
"22",22,0.00428865706361849,0.735249054415715
"23",23,0.00425806851865498,0.73950712293437
"24",24,0.00407386598562458,0.743580988919994
"25",25,0.00398345921234574,0.74756444813234
"26",26,0.00379898882122489,0.751363436953565
"27",27,0.0037796769118606,0.755143113865426
"28",28,0.00367851940362831,0.758821633269054
"29",29,0.00361654955772685,0.762438182826781
"30",30,0.00355095166095266,0.765989134487733
"31",31,0.00341295519770232,0.769402089685436
"32",32,0.00335733149410102,0.772759421179537
"33",33,0.00327227799003126,0.776031699169568
"34",34,0.00309095072491821,0.779122649894486
"35",35,0.00295813692772465,0.782080786822211
"36",36,0.00294188459371841,0.785022671415929
"37",37,0.00293369697727698,0.787956368393206
"38",38,0.00287067165115664,0.790827040044363
"39",39,0.00281251977953361,0.793639559823896
"40",40,0.0027119117373218,0.796351471561218
"41",41,0.00268940831427352,0.799040879875492
"42",42,0.00263254262734568,0.801673422502837
"43",43,0.00258406767436708,0.804257490177204
"44",44,0.00250260353080191,0.806760093708006
"45",45,0.00249917624654035,0.809259269954547
"46",46,0.00242833362064832,0.811687603575195
"47",47,0.00240601874254268,0.814093622317738
"48",48,0.00236230850801472,0.816455930825753
"49",49,0.00230385842207612,0.818759789247829
"50",50,0.00226897848654498,0.821028767734374
"51",51,0.00222974870722432,0.823258516441598
"52",52,0.00222509102412943,0.825483607465727
"53",53,0.00215338711163348,0.827636994577361
"54",54,0.00211432706037843,0.829751321637739
"55",55,0.00205864046013534,0.831809962097875
"56",56,0.0020431994516836,0.833853161549558
"57",57,0.00202526912243312,0.835878430671991
"58",58,0.00199761324375073,0.837876043915742
"59",59,0.00194469050139099,0.839820734417133
"60",60,0.00193751150128016,0.841758245918413
"61",61,0.00193069126066403,0.843688937179077
"62",62,0.00190734422563485,0.845596281404712
"63",63,0.00188610362512927,0.847482385029841
"64",64,0.00186608423412286,0.849348469263964
"65",65,0.00183707840279172,0.851185547666756
"66",66,0.00180797086825211,0.852993518535008
"67",67,0.00178374669339226,0.8547772652284
"68",68,0.00176182826700495,0.856539093495405
"69",69,0.0017481186593874,0.858287212154793
"70",70,0.00170431628690368,0.859991528441696
"71",71,0.00168056461368087,0.861672093055377
"72",72,0.00167465036597889,0.863346743421356
"73",73,0.00165086135060844,0.864997604771965
"74",74,0.00162872169501222,0.866626326466977
"75",75,0.00161629334098572,0.868242619807962
"76",76,0.00159841457723197,0.869841034385194
