Field ID	Description	Short_Name	Category	Category_Name
25375	Mean ICVF in sagittal stratum on FA skeleton (L)			Diffusion_brain_MRI
25376	Mean ICVF in external capsule on FA skeleton (R)			Diffusion_brain_MRI
25377	Mean ICVF in external capsule on FA skeleton (L)			Diffusion_brain_MRI
25378	Mean ICVF in cingulum cingulate gyrus on FA skeleton (R)			Diffusion_brain_MRI
25379	Mean ICVF in cingulum cingulate gyrus on FA skeleton (L)			Diffusion_brain_MRI
25380	Mean ICVF in cingulum hippocampus on FA skeleton (R)			Diffusion_brain_MRI
25381	Mean ICVF in cingulum hippocampus on FA skeleton (L)			Diffusion_brain_MRI
25382	Mean ICVF in fornix cres+stria terminalis on FA skeleton (R)			Diffusion_brain_MRI
25383	Mean ICVF in fornix cres+stria terminalis on FA skeleton (L)			Diffusion_brain_MRI
25384	Mean ICVF in superior longitudinal fasciculus on FA skeleton (R)			Diffusion_brain_MRI
25385	Mean ICVF in superior longitudinal fasciculus on FA skeleton (L)			Diffusion_brain_MRI
25386	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (R)			Diffusion_brain_MRI
25387	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (L)			Diffusion_brain_MRI
25388	Mean ICVF in uncinate fasciculus on FA skeleton (R)			Diffusion_brain_MRI
25389	Mean ICVF in uncinate fasciculus on FA skeleton (L)			Diffusion_brain_MRI
25391	Mean ICVF in tapetum on FA skeleton (L)			Diffusion_brain_MRI
25440	Mean ISOVF in middle cerebellar peduncle on FA skeleton			Diffusion_brain_MRI
25441	Mean ISOVF in pontine crossing tract on FA skeleton			Diffusion_brain_MRI
25443	Mean ISOVF in body of corpus callosum on FA skeleton			Diffusion_brain_MRI
25445	Mean ISOVF in fornix on FA skeleton			Diffusion_brain_MRI
25446	Mean ISOVF in corticospinal tract on FA skeleton (R)			Diffusion_brain_MRI
25447	Mean ISOVF in corticospinal tract on FA skeleton (L)			Diffusion_brain_MRI
25451	Mean ISOVF in inferior cerebellar peduncle on FA skeleton (L)			Diffusion_brain_MRI
25452	Mean ISOVF in superior cerebellar peduncle on FA skeleton (R)			Diffusion_brain_MRI
25453	Mean ISOVF in superior cerebellar peduncle on FA skeleton (L)			Diffusion_brain_MRI
25457	Mean ISOVF in anterior limb of internal capsule on FA skeleton (L)			Diffusion_brain_MRI
